Actual Title,Cleaned Title,Compound,Negative,Neutral,Positive,Date,Company
"20 Microns' board meeting on November 07, 2015",microns board meeting on november,0,0,1,0,29-10-2015 11:11,20 MICRONS
20 Microns: Outcome of AGM,microns outcome of agm,0,0,1,0,29-09-2015 20:56,20 MICRONS
20 Microns: Outcome of board meeting,microns outcome of board meeting,0,0,1,0,11-09-2015 14:45,20 MICRONS
"20 Microns' board meeting on September 11, 2015",microns board meeting on september,0,0,1,0,09-09-2015 11:48,20 MICRONS
20 Microns allots 3.82 lakh equity shares on conversion of warrants,microns allots lakh equity shares on conversion of warrants,0.296,0,0.784,0.216,13-07-2015 09:59,20 MICRONS
20 Microns: Outcome of board meeting,microns outcome of board meeting,0,0,1,0,21-05-2015 22:47,20 MICRONS
20 Microns: Outcome of board meeting,microns outcome of board meeting,0,0,1,0,21-05-2015 22:44,20 MICRONS
"20 Microns' board meeting on May 21, 2015",microns board meeting on may,0,0,1,0,18-05-2015 15:46,20 MICRONS
20 Microns: Outcome of board meeting,microns outcome of board meeting,0,0,1,0,06-04-2015 17:40,20 MICRONS
"20 Microns board meeting on April 06, 2015",microns board meeting on april,0,0,1,0,01-04-2015 22:53,20 MICRONS
20 Microns: Outcome of board meeting,microns outcome of board meeting,0,0,1,0,23-03-2015 21:36,20 MICRONS
"20 Microns' board meeting on March 23, 2015",microns board meeting on march,0,0,1,0,23-03-2015 11:26,20 MICRONS
"20 Microns board meeting on Feb 11, 2015",microns board meeting on feb,0,0,1,0,02-02-2015 22:58,20 MICRONS
20 Microns: Outcome of EGM,microns outcome of egm,0,0,1,0,12-12-2014 16:03,20 MICRONS
"20 Microns' EGM on Dec 12, 2014",microns egm on dec,0,0,1,0,20-11-2014 21:45,20 MICRONS
20 Microns: Outcome of board meeting,microns outcome of board meeting,0,0,1,0,12-11-2014 17:26,20 MICRONS
"20 Microns: Board meeting on Nov 12, 2014",microns board meeting on nov,0,0,1,0,04-11-2014 17:02,20 MICRONS
20 Microns standalone Sep '13 sales at Rs 80.60 crore,microns standalone sep sales at rs crore,0,0,1,0,13-11-2013 16:32,20 MICRONS
20 Microns: Outcome of board meeting,microns outcome of board meeting,0,0,1,0,12-11-2013 21:22,20 MICRONS
"20 Microns' board meeting on Nov 12, 2013",microns board meeting on nov,0,0,1,0,01-11-2013 16:03,20 MICRONS
"BSE Midcap weekly blockbusters: Adani Power, 3M India",bse midcap weekly blockbusters adani power m india,0,0,1,0,20-05-2017 11:52,3M INDIA
3M India drops after dull Q2 financial performance,m india drops after dull q financial performance,-0.4019,0.351,0.649,0,01-01-2016 09:38,3M INDIA
3M India gains 3%,m india gains,0.34,0,0.294,0.706,05-08-2016 09:41,3M INDIA
3M India Q4 net profit at Rs.57.4 crore,m india q net profit at rs crore,0.4404,0,0.633,0.367,27-05-2016 14:15,3M INDIA
"UltraTech Cement, 3M India among 37 stocks that hit 52-week high",ultratech cement m india among stocks that hit week high,0,0,1,0,20-04-2016 18:14,3M INDIA
"3M India, Ashok Leyland among 31 stocks that hit 52-week high",m india ashok leyland among stocks that hit week high,0,0,1,0,12-04-2016 18:47,3M INDIA
Indian Oil inks agreement with 3M India,indian oil inks agreement with m india,0.4939,0,0.61,0.39,19-03-2016 11:56,3M INDIA
3M India gallops 13.5% after blockbuster Q3 numbers,m india gallops after blockbuster q numbers,0.5994,0,0.506,0.494,08-02-2016 16:17,3M INDIA
3M India skyrockets 17% upper limit,m india skyrockets upper limit,0,0,1,0,08-02-2016 11:43,3M INDIA
"3M India, Arvind Infra and 23 other stocks hit all time high",m india arvind infra and other stocks hit all time high,0,0,1,0,29-09-2015 14:22,3M INDIA
3M India gains 6% on stellar performance,m india gains on stellar performance,0.34,0,0.625,0.375,06-08-2015 16:37,3M INDIA
"3M India, Cummins, 90 other scrips hit all time high",m india cummins other scrips hit all time high,0,0,1,0,06-08-2015 16:02,3M INDIA
"3M India extends winning run, at new summit",m india extends winning run at new summit,0.5994,0,0.505,0.495,06-08-2015 14:26,3M INDIA
3M India Q1 net profit at Rs. 39.5 crore,m india q net profit at rs crore,0.4404,0,0.633,0.367,03-08-2015 17:20,3M INDIA
3M India partners with CII to launch the Young Innovators Challenge Awards 2015,m india partners with cii to launch the young innovators challenge awards,0.5106,0,0.677,0.323,26-06-2015 17:05,3M INDIA
M3M India launches M3M Latitude,m m india launches m m latitude,0,0,1,0,23-02-2015 14:16,3M INDIA
3M India Q3 PAT at Rs. 16.6 crore,m india q pat at rs crore,0,0,1,0,30-01-2015 09:04,3M INDIA
M3M India Accelerates Land Acquisition from Sahara Group with an Advance Fund of Rs 300 crore,m m india accelerates land acquisition from sahara group with an advance fund of rs crore,0,0,1,0,,3M INDIA
3M India at new all-time high on strong Q2,m india at new all time high on strong q,0.5106,0,0.68,0.32,14-11-2014 11:19,3M INDIA
5Paisa Capital looks to enter insurance advisory space,paisa capital looks to enter insurance advisory space,0,0,1,0,08-12-2017 15:33,5PAISA CAPITAL
5Paisa Capital to list shares on bourses in next 3-4 months,paisa capital to list shares on bourses in next months,0.296,0,0.804,0.196,05-03-2017 18:23,5PAISA CAPITAL
IIFL Holdings gets nod to demerge 5Paisa Digital Undertaking,iifl holdings gets nod to demerge paisa digital undertaking,0,0,1,0,02-10-2016 13:03,5PAISA CAPITAL
['63 Moons launches trading platform'],moons launches trading platform,0,0,1,0,03-12-2016 20:58,63 MOONS TECHNOLOGIES
['63 Moons Technologies to invest Rs 50 crore in scam-hit NSEL'],moons technologies to invest rs crore in scam hit nsel,-0.5719,0.291,0.709,0,09-02-2017 01:19,63 MOONS TECHNOLOGIES
8K Miles Software Services: Outcome of EGM,k miles software services outcome of egm,0,0,1,0,29-10-2014 17:50,8K MILES SOFT SERV
8K Miles Q3 net soars 67% to Rs 44.8 cr,k miles q net soars to rs cr,0,0,1,0,15-02-2018 08:47,8K MILES SOFT SERV
8K Miles Software Services' outcome of board meeting,k miles software services outcome of board meeting,0,0,1,0,05-03-2014 19:53,8K MILES SOFT SERV
8K Miles Software Q2 profit rises 31.4% to Rs Rs 4.14 cr,k miles software q profit rises to rs rs cr,0.4404,0,0.707,0.293,09-10-2014 13:06,8K MILES SOFT SERV
8K Miles Software Services up 5% on strong Q2 earnings,k miles software services up on strong q earnings,0.5106,0,0.645,0.355,09-10-2014 14:47,8K MILES SOFT SERV
8K Miles Software: Outcome of board meeting,k miles software outcome of board meeting,0,0,1,0,08-09-2014 09:41,8K MILES SOFT SERV
8KMiles launches EzlAM,kmiles launches ezlam,0,0,1,0,26-02-2014 11:19,8K MILES SOFT SERV
"8K Miles Software Services' board meeting on March 05, 2014",k miles software services board meeting on march,0,0,1,0,25-02-2014 13:06,8K MILES SOFT SERV
8K Miles Soft standalone Dec '13 sales at Rs 10.37 crore,k miles soft standalone dec sales at rs crore,0,0,1,0,13-02-2014 17:26,8K MILES SOFT SERV
8K Miles up 6% as company launches blockchain platform,k miles up as company launches blockchain platform,0,0,1,0,16-02-2018 13:49,8K MILES SOFT SERV
8K Miles gains 3% as DSP Blackrock MF raises stake in company,k miles gains as dsp blackrock mf raises stake in company,0.34,0,0.789,0.211,23-01-2018 10:14,8K MILES SOFT SERV
8K Miles Software up 5% due to surge in volume,k miles software up due to surge in volume,0,0,1,0,24-10-2017 10:55,8K MILES SOFT SERV
Small-cap wrap: 8K Miles Software gains 34%,small cap wrap k miles software gains,0.34,0,0.676,0.324,07-10-2017 10:49,8K MILES SOFT SERV
8K Miles announces closing of acquisition of Cornerstone Advisors Group,k miles announces closing of acquisition of cornerstone advisors group,0,0,1,0,30-05-2017 11:10,8K MILES SOFT SERV
"Top 15 stocks in focus today: Aurobindo Pharma, BEML, 8K Miles",top stocks in focus today aurobindo pharma beml k miles,0.2023,0,0.816,0.184,09-01-2017 11:39,8K MILES SOFT SERV
8K Miles Q2 FY17 revenue up 18% qoq,k miles q fy revenue up qoq,0,0,1,0,07-11-2016 12:09,8K MILES SOFT SERV
"Buzzing stocks: Zee Entertainment jumps, Jet Airways slips, 8K Miles Software up",buzzing stocks zee entertainment jumps jet airways slips k miles software up,0.4215,0,0.781,0.219,27-09-2016 13:26,8K MILES SOFT SERV
8K Miles Board approves bonus issue in the ratio of 1:3,k miles board approves bonus issue in the ratio of,0.7351,0,0.53,0.47,24-08-2016 13:15,8K MILES SOFT SERV
8K Miles surges 10% post strong Q1 FY17 results,k miles surges post strong q fy results,0.5106,0,0.602,0.398,08-07-2016 17:22,8K MILES SOFT SERV
"Buzzing stocks: Zee Learn soars, Telecom stocks drag, 8K Miles Software up",buzzing stocks zee learn soars telecom stocks drag k miles software up,-0.2263,0.16,0.84,0,08-07-2016 14:05,8K MILES SOFT SERV
8K Miles Board to consider Sub-division of Equity Shares & Bonus Issue,k miles board to consider sub division of equity shares bonus issue,0.6908,0,0.612,0.388,06-08-2016 09:49,8K MILES SOFT SERV
"Buzzing stocks: Zee Learn soars, Telecom stocks drag, 8K Miles Software up",buzzing stocks zee learn soars telecom stocks drag k miles software up,-0.2263,0.16,0.84,0,08-07-2016 14:05,8K MILES SOFT SERV
8K Miles Q1 FY17 PAT surges 57% qoq,k miles q fy pat surges qoq,0,0,1,0,08-07-2016 11:03,8K MILES SOFT SERV
8K Miles Software plunges 5%,k miles software plunges,0,0,1,0,10-05-2016 11:40,8K MILES SOFT SERV
8K Miles Software Q4 PAT jumps 10%,k miles software q pat jumps,0,0,1,0,10-05-2016 09:42,8K MILES SOFT SERV
"8K Miles Software, Balrampur Chini, 25 others hit 52-week high",k miles software balrampur chini others hit week high,0,0,1,0,14-01-2016 18:56,8K MILES SOFT SERV
8K Miles Software Services ends flat,k miles software services ends flat,0,0,1,0,11-01-2016 16:18,8K MILES SOFT SERV
"8K Miles, Bharat Forge, Sobha among 18 Stocks in focus today",k miles bharat forge sobha among stocks in focus today,0,0,1,0,11-01-2016 08:03,8K MILES SOFT SERV
"Corporate strategy focal point continues to be financial services and pharma: Suresh Venkatachari, 8K Miles Software",corporate strategy focal point continues to be financial services and pharma suresh venkatachari k miles software,0,0,1,0,24-12-2015 16:11,8K MILES SOFT SERV
"Flying high! 8K Miles Software, SJVN, 58 others hit 52-week high",flying high k miles software sjvn others hit week high,0,0,1,0,18-12-2015 18:36,8K MILES SOFT SERV
8K Miles Software surges 3% on Q2 results,k miles software surges on q results,0,0,1,0,09-10-2015 09:29,8K MILES SOFT SERV
8K Miles Software Q2 PAT zooms 111%,k miles software q pat zooms,0,0,1,0,08-10-2015 17:13,8K MILES SOFT SERV
Results to watch out for: 8K Miles Software Services,results to watch out for k miles software services,0,0,1,0,08-10-2015 08:19,8K MILES SOFT SERV
"8K Miles Software, Apollo Hospitals, 39 other scrips hit all-time high",k miles software apollo hospitals other scrips hit all time high,0,0,1,0,05-10-2015 18:30,8K MILES SOFT SERV
8K Miles jumps 2%; to hold Board meeting on 8th October,k miles jumps to hold board meeting on th october,0,0,1,0,23-09-2015 16:18,8K MILES SOFT SERV
8K Miles Software Services to acquire NexAge Technologies,k miles software services to acquire nexage technologies,0,0,1,0,18-09-2015 08:36,8K MILES SOFT SERV
"8K Miles Software, Cambridge Tech, 11 other scrips hit all-time high",k miles software cambridge tech other scrips hit all time high,0,0,1,0,16-09-2015 18:40,8K MILES SOFT SERV
"8K Miles Software, Rama Steel Tubes, 4 other scrips hit all-time high",k miles software rama steel tubes other scrips hit all time high,0,0,1,0,08-09-2015 18:12,8K MILES SOFT SERV
"Caplin Point Lab, 8K Miles Software, 14 other scrips hit all-time high",caplin point lab k miles software other scrips hit all time high,0,0,1,0,03-09-2015 17:18,8K MILES SOFT SERV
"8K Miles Software, Jubilant Inds, 5 other scrips hit all time high",k miles software jubilant inds other scrips hit all time high,0.6124,0,0.692,0.308,27-08-2015 18:15,8K MILES SOFT SERV
"8K Miles, Aurobindo Pharma, 42 other scrips hit all time high",k miles aurobindo pharma other scrips hit all time high,0,0,1,0,20-08-2015 18:35,8K MILES SOFT SERV
8K Miles logs 52-week high on high volume,k miles logs week high on high volume,0,0,1,0,20-08-2015 14:18,8K MILES SOFT SERV
8K Miles Software jumps 6% on blockbuster Q1,k miles software jumps on blockbuster q,0.5994,0,0.506,0.494,09-07-2015 15:57,8K MILES SOFT SERV
8K Miles Software zooms on blockbuster Q1,k miles software zooms on blockbuster q,0.5994,0,0.506,0.494,09-07-2015 09:29,8K MILES SOFT SERV
8K Miles Software Q1 net profit at Rs. 7.2 cr; sales up 18.8%,k miles software q net profit at rs cr sales up,0.4404,0,0.734,0.266,08-07-2015 17:07,8K MILES SOFT SERV
8K Miles closes up ~2% on acquiring Cintel Systems,k miles closes up on acquiring cintel systems,0,0,1,0,22-04-2015 16:24,8K MILES SOFT SERV
8K Miles surges on acquisition plans,k miles surges on acquisition plans,0,0,1,0,22-04-2015 10:14,8K MILES SOFT SERV
8K Miles to acquire Cintel Systems,k miles to acquire cintel systems,0,0,1,0,22-04-2015 09:29,8K MILES SOFT SERV
8K Miles open for acquisition in Healthcare and Pharma sectors: Suresh Venkatachari,k miles open for acquisition in healthcare and pharma sectors suresh venkatachari,0,0,1,0,15-04-2015 20:09,8K MILES SOFT SERV
8K Miles Software Q4 PAT up 17%,k miles software q pat up,0,0,1,0,15-04-2015 14:38,8K MILES SOFT SERV
8k Miles sees the industry on Cloud 9!,k miles sees the industry on cloud,0,0,1,0,26-03-2015 15:35,8K MILES SOFT SERV
"Suresh Venkatachari, Chairman, 8K Miles Software Solutions",suresh venkatachari chairman k miles software solutions,0.1779,0,0.746,0.254,,8K MILES SOFT SERV
8K Miles Software announces availability of CloudEzRx,k miles software announces availability of cloudezrx,0,0,1,0,19-03-2015 16:03,8K MILES SOFT SERV
8K Miles Software closes down,k miles software closes down,0,0,1,0,09-03-2015 16:14,8K MILES SOFT SERV
8k Miles gains 2% on new acquisition,k miles gains on new acquisition,0.34,0,0.625,0.375,09-03-2015 11:06,8K MILES SOFT SERV
"8K Miles to acquire Mindprint for $400,000",k miles to acquire mindprint for,0,0,1,0,09-03-2015 08:41,8K MILES SOFT SERV
8K Miles soars on stellar Q3 show,k miles soars on stellar q show,0,0,1,0,09-01-2015 09:47,8K MILES SOFT SERV
A2Z Infra Engineering: Updates on outcome of AGM,a z infra engineering updates on outcome of agm,0,0,1,0,19-10-2015 20:32,A2Z INFRA ENGINEERING
A2Z Infra Engineering: Outcome of EGM,a z infra engineering outcome of egm,0,0,1,0,18-08-2015 08:24,A2Z INFRA ENGINEERING
"A2Z Infra Engineering: EGM on August 17, 2015",a z infra engineering egm on august,0,0,1,0,22-07-2015 15:45,A2Z INFRA ENGINEERING
"A2Z Infra Engineering board meeting on July 16, 2015",a z infra engineering board meeting on july,0,0,1,0,08-07-2015 20:26,A2Z INFRA ENGINEERING
A2Z Infra Engineering: Updates on outcome of board meeting,a z infra engineering updates on outcome of board meeting,0,0,1,0,12-05-2015 00:12,A2Z INFRA ENGINEERING
A2Z Infra Engineering: Outcome of court convened meeting,a z infra engineering outcome of court convened meeting,0,0,1,0,08-04-2015 21:43,A2Z INFRA ENGINEERING
A2Z Infra Engineering: Outcome of independent directors meeting,a z infra engineering outcome of independent directors meeting,0,0,1,0,23-03-2015 15:36,A2Z INFRA ENGINEERING
A2Z Infra Engineering: Outcome of board meeting,a z infra engineering outcome of board meeting,0,0,1,0,10-02-2015 20:43,A2Z INFRA ENGINEERING
A2Z Infra Engineering: Bags order; stock trades in green,a z infra engineering bags order stock trades in green,0,0,1,0,05-06-2017 12:44,A2Z INFRA ENGINEERING
A2Z Infra Engineering jumps as subsidiary to settle various debts,a z infra engineering jumps as subsidiary to settle various debts,0,0,1,0,01-01-2016 10:30,A2Z INFRA ENGINEERING
"ITC, A2Z Infra Engineering among 63 stocks that hit 52-week high during intraday",itc a z infra engineering among stocks that hit week high during intraday,0,0,1,0,28-06-2016 16:57,A2Z INFRA ENGINEERING
A2Z Infra Engineering gallops 15% after securing order from Uganda Ministry,a z infra engineering gallops after securing order from uganda ministry,0.3182,0,0.777,0.223,28-06-2016 14:07,A2Z INFRA ENGINEERING
A2Z Infra Engineering surges 6% on order win,a z infra engineering surges on order win,0.5859,0,0.568,0.432,13-06-2016 15:49,A2Z INFRA ENGINEERING
A2Z Infra Engineering climbs 4.2% on order win,a z infra engineering climbs on order win,0.5859,0,0.568,0.432,11-04-2016 16:37,A2Z INFRA ENGINEERING
A2Z Infra Engineering climbs 4.2% after order win,a z infra engineering climbs after order win,0.5859,0,0.568,0.432,11-04-2016 10:16,A2Z INFRA ENGINEERING
['Aarti Drugs plunges as Q4 results below Street estimates'],aarti drugs plunges as q results below street estimates,0,0,1,0,21-05-2015 16:00,AARTI DRUGS
"['Expecting audit report from third party on Palghar plant this week: Adhish Patil, Aarti Drugs CFO']",expecting audit report from third party on palghar plant this week adhish patil aarti drugs cfo,0.4019,0,0.847,0.153,14-03-2016 12:22,AARTI DRUGS
"['We have products in pipeline which look promising: Adhish Patil, Aarti Drugs']",we have products in pipeline which look promising adhish patil aarti drugs,0.4019,0,0.803,0.197,06-05-2016 11:04,AARTI DRUGS
['Will call FDA for re audit once consultants are confident for reinspect: Adhish Patil  of  Aarti Drugs'],will call fda for re audit once consultants are confident for reinspect adhish patil of aarti drugs,0.4939,0,0.833,0.167,26-09-2016 15:41,AARTI DRUGS
"['Demonetisation pushed domestic sales down but biz set to go up: Adhish Patil, CFO, Aarti Drugs']",demonetisation pushed domestic sales down but biz set to go up adhish patil cfo aarti drugs,0,0,1,0,09-02-2017 12:49,AARTI DRUGS
['Aarti Drugs Q4 net profit up 11.51% at Rs 21 crore'],aarti drugs q net profit up at rs crore,0.4404,0,0.707,0.293,23-05-2017 18:06,AARTI DRUGS
"['Forex policy does not impact our margins: Adhish Patil, CFO, Aarti Drugs']",forex policy does not impact our margins adhish patil cfo aarti drugs,0,0,1,0,22-08-2017 14:34,AARTI DRUGS
Centrum initiates coverage on Aarti Drugs; target at Rs 940,centrum initiates coverage on aarti drugs target at rs,0,0,1,0,16-01-2018 14:50,AARTI DRUGS
Buy Aarti Drugs; target of Rs 940: Centrum Research,buy aarti drugs target of rs centrum research,0,0,1,0,23-01-2018 12:08,AARTI DRUGS
Aarti Drugs gains 2% ahead of board meet for buyback,aarti drugs gains ahead of board meet for buyback,0.34,0,0.769,0.231,08-01-2018 09:31,AARTI DRUGS
Aarti Drugs' board to consider shares buyback next week,aarti drugs board to consider shares buyback next week,0.296,0,0.784,0.216,04-01-2018 11:04,AARTI DRUGS
Aarti Drugs touches new high on buyback proposal,aarti drugs touches new high on buyback proposal,0,0,1,0,03-01-2018 09:55,AARTI DRUGS
"Aarti Drugs' board meeting on January 8, 2018.",aarti drugs board meeting on january,0,0,1,0,03-01-2018 09:55,AARTI DRUGS
"Aarti Drugs' board meeting on November 13, 2017",aarti drugs board meeting on november,0,0,1,0,06-11-2017 10:35,AARTI DRUGS
Aarti Drugs:  Outcome of AGM,aarti drugs outcome of agm,0,0,1,0,21-08-2017 08:56,AARTI DRUGS
"Aarti Drugs' board meeting on August 18, 2017",aarti drugs board meeting on august,0,0,1,0,09-08-2017 13:38,AARTI DRUGS
"Aarti Drugs' board meeting on February 08, 2017",aarti drugs board meeting on february,0,0,1,0,31-01-2017 11:49,AARTI DRUGS
"Aarti Drugs, Aarti Industries up over 4% on buyback approval",aarti drugs aarti industries up over on buyback approval,0.4767,0,0.721,0.279,18-10-2016 09:52,AARTI DRUGS
Aarti Drugs consolidated Jun '16 sales at Rs 291.88 crore,aarti drugs consolidated jun sales at rs crore,0,0,1,0,16-08-2016 12:45,AARTI DRUGS
"Aarti Drugs AGM on July 22, 2016",aarti drugs agm on july,0,0,1,0,29-06-2016 21:46,AARTI DRUGS
Aarti Drugs Q4 net up 9% at Rs 18.59 cr,aarti drugs q net up at rs cr,0,0,1,0,06-05-2016 08:45,AARTI DRUGS
"Aarti Drugs' board meeting on May 05, 2016",aarti drugs board meeting on may,0,0,1,0,26-04-2016 14:08,AARTI DRUGS
Aarti Drugs declares 22.5% interim dividend,aarti drugs declares interim dividend,0,0,1,0,06-11-2015 15:46,AARTI DRUGS
Aarti Drugs to consider interim dividend,aarti drugs to consider interim dividend,0,0,1,0,23-10-2015 16:06,AARTI DRUGS
Aarti Drugs: Updates on outcome of AGM,aarti drugs updates on outcome of agm,0,0,1,0,21-08-2015 13:35,AARTI DRUGS
Buy Aarti Drugs; target of Rs 790: Firstcall,buy aarti drugs target of rs firstcall,0,0,1,0,05-08-2015 11:50,AARTI DRUGS
Aarti Drugs Q4 net falls 14% to Rs 19 crore,aarti drugs q net falls to rs crore,0,0,1,0,21-05-2015 11:37,AARTI DRUGS
Aarti Drugs consider final dividend,aarti drugs consider final dividend,0,0,1,0,07-05-2015 23:12,AARTI DRUGS
Aarti Drugs tanks 17% on import alert for Maharashtra unit,aarti drugs tanks on import alert for maharashtra unit,0.296,0,0.784,0.216,24-03-2015 15:18,AARTI DRUGS
"Nifty reclaims 8600; Shasun Pharma surges, Aarti Drugs down",nifty reclaims shasun pharma surges aarti drugs down,0.4019,0,0.722,0.278,24-03-2015 12:42,AARTI DRUGS
"Aarti Drugs: Board meeting on March 26, 2015",aarti drugs board meeting on march,0,0,1,0,17-03-2015 17:44,AARTI DRUGS
Aarti Drugs to consider second interim dividend,aarti drugs to consider second interim dividend,0,0,1,0,19-01-2015 11:44,AARTI DRUGS
Aarti Drugs declares 50% interim dividend,aarti drugs declares interim dividend,0,0,1,0,14-11-2014 15:52,AARTI DRUGS
Aarti Drugs to consider interim dividend,aarti drugs to consider interim dividend,0,0,1,0,03-11-2014 13:28,AARTI DRUGS
"NRB Bearings, Aarti Drugs up 7% on strong Q3 numbers",nrb bearings aarti drugs up on strong q numbers,0.5106,0,0.68,0.32,14-02-2018 10:05,AARTI DRUGS
Aarti Drugs standalone Sep '13 sales at Rs 247.95 crore,aarti drugs standalone sep sales at rs crore,0,0,1,0,18-11-2013 15:02,AARTI DRUGS
Aarti Drugs declares interim dividend,aarti drugs declares interim dividend,0,0,1,0,16-11-2013 12:46,AARTI DRUGS
Aarti Drugs: Fixes record date for interim dividend,aarti drugs fixes record date for interim dividend,0,0,1,0,02-11-2013 00:43,AARTI DRUGS
Aarti Drugs to consider interim dividend,aarti drugs to consider interim dividend,0,0,1,0,01-11-2013 15:56,AARTI DRUGS
Aarti Drugs standalone Dec '13 sales at Rs 222.16 crore,aarti drugs standalone dec sales at rs crore,0,0,1,0,01-02-2014 11:54,AARTI DRUGS
Aarti Drugs' board declares 2nd interim dividend,aarti drugs board declares nd interim dividend,0,0,1,0,31-01-2014 21:56,AARTI DRUGS
Aarti Drugs to consider second interim dividend,aarti drugs to consider second interim dividend,0,0,1,0,21-01-2014 08:09,AARTI DRUGS
Buy Aarti Drugs; target of Rs 240: Firstcall Research,buy aarti drugs target of rs firstcall research,0,0,1,0,10-01-2014 16:14,AARTI DRUGS
"Top stocks in focus today: Tata Motors, NMDC, Coal India, Aarti Drugs",top stocks in focus today tata motors nmdc coal india aarti drugs,0.2023,0,0.859,0.141,09-01-2018 09:59,AARTI DRUGS
Aarti Drugs board meeting on October 17 to consider buyback,aarti drugs board meeting on october to consider buyback,0,0,1,0,13-10-2016 15:10,AARTI DRUGS
"Aarti Drugs, Sunil Hitech Engineers among 21 scrips that hit 52-week low during intraday",aarti drugs sunil hitech engineers among scrips that hit week low during intraday,-0.2732,0.149,0.851,0,24-06-2016 18:39,AARTI DRUGS
It is difficult to determine EPS figures given the current export scenario: Aarti Drugs,it is difficult to determine eps figures given the current export scenario aarti drugs,-0.3612,0.161,0.839,0,06-05-2016 18:34,AARTI DRUGS
Aarti Drugs cracks 4.3%,aarti drugs cracks,0,0,1,0,06-05-2016 16:32,AARTI DRUGS
Aarti Drugs plunges 3%,aarti drugs plunges,0,0,1,0,06-05-2016 09:44,AARTI DRUGS
Aarti Drugs Q4 net profit rises 9% to Rs.18.6 crore,aarti drugs q net profit rises to rs crore,0.4404,0,0.707,0.293,05-05-2016 16:18,AARTI DRUGS
Aarti Drugs: Q4 earnings expected to disappoint,aarti drugs q earnings expected to disappoint,-0.4019,0.351,0.649,0,03-05-2016 20:04,AARTI DRUGS
"Aarti Drugs, Visa Steel among 36 scrips that hit 52-week low",aarti drugs visa steel among scrips that hit week low,-0.2732,0.189,0.811,0,30-03-2016 18:44,AARTI DRUGS
"US FDA remediation process should not exceed three months: Adhish Patil, CFO, Aarti Drugs",us fda remediation process should not exceed three months adhish patil cfo aarti drugs,0,0,1,0,15-03-2016 19:02,AARTI DRUGS
Aarti Drugs Q2 net profit falls 16% to Rs. 15 cr,aarti drugs q net profit falls to rs cr,0.4404,0,0.707,0.293,07-11-2015 11:13,AARTI DRUGS
Aarti Drugs Q1 net loss at Rs. 17.05 crore,aarti drugs q net loss at rs crore,-0.3182,0.277,0.723,0,01-08-2015 11:26,AARTI DRUGS
Aarti Drugs zooms 9.5%,aarti drugs zooms,0,0,1,0,16-06-2015 14:30,AARTI DRUGS
Aarti Drugs plunges 7% as Q4 disappoints,aarti drugs plunges as q disappoints,-0.3818,0.394,0.606,0,21-05-2015 16:23,AARTI DRUGS
Aarti Drugs plunges as Q4 disappoints,aarti drugs plunges as q disappoints,-0.3818,0.394,0.606,0,21-05-2015 09:45,AARTI DRUGS
Aarti Drugs Q4 Net Profit at Rs.18.9 Crore,aarti drugs q net profit at rs crore,0.4404,0,0.674,0.326,20-05-2015 16:35,AARTI DRUGS
Aarti Drugs ends 7% lower after USFDA import alert,aarti drugs ends lower after usfda import alert,0,0.212,0.577,0.212,24-03-2015 16:05,AARTI DRUGS
Aarti Drugs receives import alert for Tarapur facilities,aarti drugs receives import alert for tarapur facilities,0.296,0,0.761,0.239,24-03-2015 10:43,AARTI DRUGS
Aarti Drugs trades ex-bonus,aarti drugs trades ex bonus,0.5423,0,0.533,0.467,24-03-2015 09:25,AARTI DRUGS
"Aarti Drugs extends rally, hits record high",aarti drugs extends rally hits record high,0.128,0,0.8,0.2,17-03-2015 11:51,AARTI DRUGS
"Aarti Drugs at record high, up 1.5%",aarti drugs at record high up,0,0,1,0,16-03-2015 14:29,AARTI DRUGS
Aarti Drugs stock rallies 9%,aarti drugs stock rallies,0,0,1,0,02-02-2015 10:11,AARTI DRUGS
Aarti Drugs Board approves bonus issue,aarti drugs board approves bonus issue,0.7351,0,0.392,0.608,30-01-2015 15:58,AARTI DRUGS
['Aarti Industries Q2 net up 50 pc at Rs 42 crore'],aarti industries q net up pc at rs crore,0,0,1,0,14-11-2013 20:09,AARTI INDUSTRIES
['Steady growth makes Aarti Industries a value pick'],steady growth makes aarti industries a value pick,0.6124,0,0.5,0.5,28-02-2014 04:00,AARTI INDUSTRIES
"['Expect about 6-7% growth in FY14 over last year: Rajendra Gogri, Aarti Industries']",expect about growth in fy over last year rajendra gogri aarti industries,0.3818,0,0.809,0.191,14-03-2014 13:01,AARTI INDUSTRIES
